Time,Lot,pH,Temp,Voltage,DTime
2021-09-06 16:37:24.800,2,1.95,41.76,18.73,2021-09-06
2021-09-06 16:37:29.800,2,1.85,42.49,15.27,2021-09-06
2021-09-06 16:37:34.800,2,1.97,44.05,17.71,2021-09-06
2021-09-06 16:37:39.800,2,2.1,43.57,18.79,2021-09-06
2021-09-06 16:37:44.800,2,1.95,41.05,16.59,2021-09-06
2021-09-06 16:37:49.800,2,2.19,44.95,17.16,2021-09-06
2021-09-06 16:37:54.800,2,2.11,43.72,17.61,2021-09-06
2021-09-06 16:37:59.800,2,1.82,42.93,16.81,2021-09-06
2021-09-06 16:38:04.800,2,1.88,42.64,15.58,2021-09-06
2021-09-06 16:38:09.900,2,2.03,40.91,16.4,2021-09-06
2021-09-06 16:38:14.900,2,1.87,40.35,15.68,2021-09-06
2021-09-06 16:38:19.900,2,2.09,42.01,17.41,2021-09-06
2021-09-06 16:38:24.900,2,1.89,43.09,17.11,2021-09-06
2021-09-06 16:38:29.900,2,2.06,41.22,16.02,2021-09-06
2021-09-06 16:38:34.900,2,2.26,36.94,17.43,2021-09-06
2021-09-06 16:38:39.900,2,1.98,43.88,15.38,2021-09-06
2021-09-06 16:38:44.900,2,2.16,42.99,15.27,2021-09-06
2021-09-06 16:38:49.900,2,1.97,40.8,18.53,2021-09-06
2021-09-06 16:38:54.900,2,1.84,41.69,19.33,2021-09-06
2021-09-06 16:38:59.900,2,2.0,42.66,17.58,2021-09-06
2021-09-06 16:39:04.900,2,2.16,44.87,17.8,2021-09-06
2021-09-06 16:39:09.900,2,2.16,41.41,15.81,2021-09-06
2021-09-06 16:39:14.900,2,1.93,42.67,17.67,2021-09-06
2021-09-06 16:39:19.900,2,1.87,43.28,17.84,2021-09-06
2021-09-06 16:39:24.900,2,2.0,42.98,17.1,2021-09-06
2021-09-06 16:39:29.900,2,1.96,44.7,15.53,2021-09-06
2021-09-06 16:39:34.900,2,2.03,44.69,18.91,2021-09-06
2021-09-06 16:39:39.900,2,1.82,42.78,16.15,2021-09-06
2021-09-06 16:39:44.900,2,2.16,41.88,17.4,2021-09-06
2021-09-06 16:39:49.900,2,1.9,43.71,15.71,2021-09-06
2021-09-06 16:39:54.900,2,1.83,41.44,15.24,2021-09-06
2021-09-06 16:40:00.000,2,1.87,40.83,17.66,2021-09-06
2021-09-06 16:40:05.000,2,1.88,44.71,17.4,2021-09-06
2021-09-06 16:40:10.000,2,1.97,41.63,18.62,2021-09-06
2021-09-06 16:40:15.000,2,1.82,40.53,17.89,2021-09-06
2021-09-06 16:40:20.000,2,1.84,41.62,17.04,2021-09-06
2021-09-06 16:40:25.000,2,2.11,41.77,16.44,2021-09-06
2021-09-06 16:40:30.000,2,1.99,41.41,18.74,2021-09-06
2021-09-06 16:40:35.000,2,1.87,42.32,15.52,2021-09-06
2021-09-06 16:40:40.000,2,1.87,43.2,15.09,2021-09-06
2021-09-06 16:40:45.000,2,2.17,40.72,15.25,2021-09-06
2021-09-06 16:40:50.000,2,2.17,42.42,16.2,2021-09-06
2021-09-06 16:40:55.000,2,2.11,44.2,18.19,2021-09-06
2021-09-06 16:41:00.000,2,1.91,40.79,16.12,2021-09-06
2021-09-06 16:41:05.000,2,1.83,43.52,18.03,2021-09-06
2021-09-06 16:41:10.000,2,2.16,40.77,15.62,2021-09-06
2021-09-06 16:41:15.000,2,1.88,42.62,17.4,2021-09-06
2021-09-06 16:41:20.000,2,2.09,42.7,19.96,2021-09-06
2021-09-06 16:41:25.000,2,1.97,42.56,17.11,2021-09-06
2021-09-06 16:41:30.000,2,2.06,43.08,19.1,2021-09-06
2021-09-06 16:41:35.000,2,2.17,41.38,17.58,2021-09-06
2021-09-06 16:41:40.000,2,1.97,41.57,17.64,2021-09-06
2021-09-06 16:42:07.600,3,1.91,41.36,18.44,2021-09-06
2021-09-06 16:42:12.600,3,2.1,40.72,17.16,2021-09-06
2021-09-06 16:42:17.600,3,2.03,43.38,16.02,2021-09-06
2021-09-06 16:42:22.600,3,2.02,41.55,17.17,2021-09-06
2021-09-06 16:42:27.600,3,1.91,41.11,16.28,2021-09-06
2021-09-06 16:42:32.600,3,1.92,43.94,16.35,2021-09-06
2021-09-06 16:42:37.600,3,2.03,43.14,16.93,2021-09-06
2021-09-06 16:42:42.600,3,1.94,42.7,17.62,2021-09-06
2021-09-06 16:42:47.600,3,1.93,40.97,16.26,2021-09-06
2021-09-06 16:42:52.600,3,2.46,41.09,15.35,2021-09-06
2021-09-06 16:42:57.600,3,2.11,44.27,19.61,2021-09-06
2021-09-06 16:43:02.600,3,2.46,41.09,15.35,2021-09-06
2021-09-06 16:43:07.600,3,1.93,44.56,17.11,2021-09-06
2021-09-06 16:43:12.600,3,1.93,42.81,17.57,2021-09-06
2021-09-06 16:43:17.700,3,2.15,42.05,19.06,2021-09-06
2021-09-06 16:43:22.700,3,2.14,40.47,16.19,2021-09-06
2021-09-06 16:43:27.700,3,1.85,42.37,15.57,2021-09-06
2021-09-06 16:43:32.700,3,1.94,44.21,19.15,2021-09-06
2021-09-06 16:43:37.700,3,1.84,43.39,15.44,2021-09-06
2021-09-06 16:43:42.700,3,2.03,41.14,15.46,2021-09-06
2021-09-06 16:43:47.700,3,2.15,43.69,15.49,2021-09-06
2021-09-06 16:43:52.700,3,1.93,43.4,16.38,2021-09-06
2021-09-06 16:43:57.700,3,1.83,44.0,19.94,2021-09-06
2021-09-06 16:44:02.700,3,1.91,42.58,19.1,2021-09-06
2021-09-06 16:44:07.700,3,2.03,44.09,17.65,2021-09-06
2021-09-06 16:44:12.700,3,1.94,43.95,18.83,2021-09-06
2021-09-06 16:44:17.700,3,2.46,41.09,15.35,2021-09-06
2021-09-06 16:44:22.700,3,1.98,41.49,15.5,2021-09-06
2021-09-06 16:44:27.700,3,2.16,44.45,18.08,2021-09-06
2021-09-06 16:44:32.700,3,2.11,41.78,16.85,2021-09-06
2021-09-06 16:44:37.700,3,2.03,44.84,19.54,2021-09-06
2021-09-06 16:44:42.700,3,2.14,42.83,17.33,2021-09-06
2021-09-06 16:44:47.700,3,2.09,40.33,19.67,2021-09-06
2021-09-06 16:44:52.800,3,1.94,44.52,18.9,2021-09-06
2021-09-06 16:44:57.800,3,2.09,42.85,17.65,2021-09-06
2021-09-06 16:45:02.800,3,1.92,43.9,16.57,2021-09-06
2021-09-06 16:45:07.800,3,2.05,44.06,19.91,2021-09-06
2021-09-06 16:45:12.800,3,1.93,42.15,16.94,2021-09-06
2021-09-06 16:45:17.800,3,2.05,42.07,18.98,2021-09-06
2021-09-06 16:45:22.800,3,2.15,43.56,16.74,2021-09-06
2021-09-06 16:45:27.800,3,2.46,41.09,15.35,2021-09-06
2021-09-06 16:45:32.800,3,2.06,43.32,15.33,2021-09-06
2021-09-06 16:45:37.800,3,1.81,44.19,17.67,2021-09-06
2021-09-06 16:45:42.800,3,2.13,40.06,17.77,2021-09-06
2021-09-06 16:45:47.800,3,1.87,41.14,19.21,2021-09-06
2021-09-06 16:45:52.800,3,2.01,43.59,16.79,2021-09-06
2021-09-06 16:45:57.800,3,1.92,44.06,15.18,2021-09-06
2021-09-06 16:46:02.800,3,2.09,44.39,17.44,2021-09-06
2021-09-06 16:46:07.800,3,2.04,44.36,17.31,2021-09-06
2021-09-06 16:46:12.800,3,1.93,40.19,18.53,2021-09-06
2021-09-06 16:46:17.800,3,2.09,42.72,15.15,2021-09-06
2021-09-06 16:46:22.800,3,1.88,40.41,17.94,2021-09-06
2021-09-06 16:46:27.800,3,1.99,42.52,19.36,2021-09-06
2021-09-06 16:46:32.800,3,2.06,42.81,16.63,2021-09-06
2021-09-06 16:46:37.900,3,1.94,44.48,17.63,2021-09-06
2021-09-06 16:46:42.900,3,1.93,41.77,18.12,2021-09-06
2021-09-06 16:46:47.900,3,2.14,43.69,16.51,2021-09-06
2021-09-06 16:46:52.900,3,2.07,42.87,15.13,2021-09-06
2021-09-06 16:46:57.900,3,1.96,42.63,17.55,2021-09-06
2021-09-06 16:47:02.900,3,1.83,40.71,17.16,2021-09-06
2021-09-06 16:47:07.900,3,2.17,42.96,18.96,2021-09-06
2021-09-06 16:47:12.900,3,2.16,42.19,18.62,2021-09-06
2021-09-06 16:47:17.900,3,2.17,43.09,15.86,2021-09-06
2021-09-06 16:47:22.900,3,2.02,42.07,16.28,2021-09-06
2021-09-06 16:47:27.900,3,2.1,42.79,18.74,2021-09-06
2021-09-06 16:47:32.900,3,2.19,42.07,19.82,2021-09-06
2021-09-06 16:47:37.900,3,2.08,43.18,17.54,2021-09-06
2021-09-06 16:47:42.900,3,1.87,40.87,19.09,2021-09-06
2021-09-06 16:47:47.900,3,1.91,42.58,17.99,2021-09-06
2021-09-06 16:48:15.800,4,2.02,41.53,16.64,2021-09-06
2021-09-06 16:48:20.800,4,2.06,42.15,19.09,2021-09-06
2021-09-06 16:48:25.800,4,1.87,44.43,18.79,2021-09-06
2021-09-06 16:48:30.800,4,1.89,41.2,19.6,2021-09-06
2021-09-06 16:48:35.800,4,1.85,43.86,19.28,2021-09-06
2021-09-06 16:48:40.800,4,1.99,42.17,16.79,2021-09-06
2021-09-06 16:48:45.800,4,2.08,42.62,17.49,2021-09-06
2021-09-06 16:48:50.800,4,2.19,42.65,19.57,2021-09-06
2021-09-06 16:48:55.800,4,2.03,42.81,17.03,2021-09-06
2021-09-06 16:49:00.800,4,1.83,40.21,19.99,2021-09-06
2021-09-06 16:49:05.800,4,1.96,44.91,19.29,2021-09-06
2021-09-06 16:49:10.800,4,1.83,44.97,16.11,2021-09-06
2021-09-06 16:49:15.800,4,1.94,44.48,18.82,2021-09-06
2021-09-06 16:49:20.800,4,2.11,42.61,19.85,2021-09-06
2021-09-06 16:49:25.800,4,1.93,42.99,16.79,2021-09-06
2021-09-06 16:49:30.800,4,2.04,44.4,19.64,2021-09-06
2021-09-06 16:49:35.800,4,1.98,42.68,17.4,2021-09-06
2021-09-06 16:49:40.800,4,2.07,41.75,15.02,2021-09-06
2021-09-06 16:49:45.800,4,2.16,41.42,15.72,2021-09-06
2021-09-06 16:49:50.800,4,1.99,42.13,15.87,2021-09-06
2021-09-06 16:49:55.900,4,1.98,40.42,17.23,2021-09-06
2021-09-06 16:50:00.900,4,2.14,40.04,19.83,2021-09-06
2021-09-06 16:50:05.900,4,2.07,41.79,16.57,2021-09-06
2021-09-06 16:50:10.900,4,2.18,43.07,17.76,2021-09-06
2021-09-06 16:50:15.900,4,1.87,42.88,19.42,2021-09-06
2021-09-06 16:50:20.900,4,2.17,42.79,18.42,2021-09-06
2021-09-06 16:50:25.900,4,2.36,41.71,12.05,2021-09-06
2021-09-06 16:50:30.900,4,1.84,42.44,15.85,2021-09-06
2021-09-06 16:50:35.900,4,2.07,43.81,19.15,2021-09-06
2021-09-06 16:50:40.900,4,1.85,41.69,15.19,2021-09-06
2021-09-06 16:50:45.900,4,1.88,40.86,18.4,2021-09-06
2021-09-06 16:50:50.900,4,1.9,43.55,15.98,2021-09-06
2021-09-06 16:50:55.900,4,2.03,42.54,19.21,2021-09-06
2021-09-06 16:51:00.900,4,2.08,43.64,15.61,2021-09-06
2021-09-06 16:51:05.900,4,1.87,44.04,18.24,2021-09-06
2021-09-06 16:51:10.900,4,2.04,42.27,18.44,2021-09-06
2021-09-06 16:51:15.900,4,2.14,41.2,16.39,2021-09-06
2021-09-06 16:51:20.900,4,2.17,42.23,17.07,2021-09-06
2021-09-06 16:51:25.900,4,1.93,44.44,16.75,2021-09-06
2021-09-06 16:51:30.900,4,1.99,41.3,17.96,2021-09-06
2021-09-06 16:51:35.900,4,1.81,40.84,16.45,2021-09-06
2021-09-06 16:51:41.000,4,1.91,44.71,18.3,2021-09-06
2021-09-06 16:51:46.000,4,2.04,41.44,17.46,2021-09-06
2021-09-06 16:51:51.000,4,1.9,43.02,19.93,2021-09-06
2021-09-06 16:51:56.000,4,1.82,42.87,17.67,2021-09-06
2021-09-06 16:52:01.000,4,1.98,43.9,18.66,2021-09-06
2021-09-06 16:52:06.000,4,1.92,42.62,19.29,2021-09-06
2021-09-06 16:52:11.000,4,2.18,41.08,17.06,2021-09-06
2021-09-06 16:52:16.000,4,1.93,42.08,16.05,2021-09-06
2021-09-06 16:52:21.000,4,1.82,41.01,17.0,2021-09-06
2021-09-06 16:52:26.000,4,1.97,43.23,18.1,2021-09-06
2021-09-06 16:52:31.000,4,1.91,42.64,16.4,2021-09-06
2021-09-06 16:52:36.000,4,1.89,44.75,17.95,2021-09-06
2021-09-06 16:52:41.000,4,2.06,43.9,15.81,2021-09-06
2021-09-06 16:52:46.000,4,2.08,43.24,16.67,2021-09-06
2021-09-06 16:52:51.000,4,1.83,43.52,18.7,2021-09-06
2021-09-06 16:52:56.000,4,1.99,42.48,17.19,2021-09-06
2021-09-06 16:53:01.000,4,1.98,44.92,15.01,2021-09-06
2021-09-06 16:53:06.000,4,1.84,43.69,19.39,2021-09-06
2021-09-06 16:53:11.000,4,2.18,41.79,17.19,2021-09-06
2021-09-06 16:53:16.000,4,1.96,40.45,19.7,2021-09-06
2021-09-06 16:53:21.100,4,2.1,44.18,17.6,2021-09-06
2021-09-06 16:53:26.100,4,2.09,43.35,17.98,2021-09-06
2021-09-06 16:53:31.100,4,1.99,41.32,18.68,2021-09-06
2021-09-06 16:53:36.100,4,2.01,41.51,19.38,2021-09-06
2021-09-06 16:53:41.100,4,1.92,44.16,15.78,2021-09-06
2021-09-06 16:53:46.100,4,1.85,44.05,15.42,2021-09-06
2021-09-06 16:53:51.100,4,2.15,44.46,15.5,2021-09-06
2021-09-06 16:53:56.100,4,1.91,40.34,19.12,2021-09-06
2021-09-06 16:54:23.000,5,2.18,40.78,17.51,2021-09-06
2021-09-06 16:54:28.000,5,2.12,44.93,18.54,2021-09-06
2021-09-06 16:54:33.000,5,1.83,43.94,15.1,2021-09-06
2021-09-06 16:54:38.000,5,2.03,42.81,18.27,2021-09-06
2021-09-06 16:54:43.000,5,2.01,43.01,17.59,2021-09-06
2021-09-06 16:54:48.000,5,2.01,40.18,16.93,2021-09-06
2021-09-06 16:54:53.000,5,2.05,43.99,17.75,2021-09-06
2021-09-06 16:54:58.000,5,2.03,42.54,17.49,2021-09-06
2021-09-06 16:55:03.000,5,2.16,41.85,17.33,2021-09-06
2021-09-06 16:55:08.000,5,1.9,42.5,17.34,2021-09-06
2021-09-06 16:55:13.000,5,2.15,41.22,18.04,2021-09-06
2021-09-06 16:55:18.000,5,1.91,42.48,16.23,2021-09-06
2021-09-06 16:55:23.000,5,2.04,42.01,19.84,2021-09-06
2021-09-06 16:55:28.000,5,2.1,44.86,19.99,2021-09-06
2021-09-06 16:55:33.000,5,2.15,41.17,16.6,2021-09-06
2021-09-06 16:55:38.100,5,1.89,40.97,19.97,2021-09-06
2021-09-06 16:55:43.100,5,1.9,42.07,17.75,2021-09-06
2021-09-06 16:55:48.100,5,2.0,43.09,17.58,2021-09-06
2021-09-06 16:55:53.100,5,1.83,44.84,16.59,2021-09-06
2021-09-06 16:55:58.100,5,2.07,36.53,17.46,2021-09-06
2021-09-06 16:56:03.100,5,2.05,41.18,17.3,2021-09-06
2021-09-06 16:56:08.100,5,2.19,41.72,18.84,2021-09-06
2021-09-06 16:56:13.100,5,1.82,40.46,16.23,2021-09-06
2021-09-06 16:56:18.100,5,2.18,43.62,17.36,2021-09-06
2021-09-06 16:56:23.100,5,2.16,44.03,15.92,2021-09-06
2021-09-06 16:56:28.100,5,2.15,41.37,17.56,2021-09-06
2021-09-06 16:56:33.100,5,2.02,41.3,18.91,2021-09-06
2021-09-06 16:56:38.100,5,1.94,42.36,15.76,2021-09-06
2021-09-06 16:56:43.100,5,1.85,40.93,19.35,2021-09-06
2021-09-06 16:56:48.100,5,1.83,41.58,15.61,2021-09-06
2021-09-06 16:56:53.100,5,2.08,40.46,18.67,2021-09-06
2021-09-06 16:56:58.100,5,2.05,42.16,17.22,2021-09-06
2021-09-06 16:57:03.100,5,1.91,44.31,17.2,2021-09-06
2021-09-06 16:57:08.100,5,1.96,41.98,17.87,2021-09-06
2021-09-06 16:57:13.200,5,2.4,43.72,18.36,2021-09-06
2021-09-06 16:57:18.200,5,2.08,41.72,15.56,2021-09-06
2021-09-06 16:57:23.200,5,2.07,43.9,17.65,2021-09-06
2021-09-06 16:57:28.200,5,1.85,41.15,15.92,2021-09-06
2021-09-06 16:57:33.200,5,2.04,41.58,15.35,2021-09-06
2021-09-06 16:57:38.200,5,2.02,44.62,16.22,2021-09-06
2021-09-06 16:57:43.200,5,2.05,44.65,19.16,2021-09-06
2021-09-06 16:57:48.200,5,1.89,44.76,19.38,2021-09-06
2021-09-06 16:57:53.200,5,1.99,40.99,18.79,2021-09-06
2021-09-06 16:57:58.200,5,2.02,42.07,15.9,2021-09-06
2021-09-06 16:58:03.200,5,1.85,43.0,17.39,2021-09-06
2021-09-06 16:58:08.200,5,2.1,42.64,18.55,2021-09-06
2021-09-06 16:58:13.200,5,2.06,41.03,19.33,2021-09-06
2021-09-06 16:58:18.200,5,2.16,43.23,18.09,2021-09-06
2021-09-06 16:58:23.200,5,2.13,41.9,19.69,2021-09-06
2021-09-06 16:58:28.200,5,1.87,40.85,15.78,2021-09-06
2021-09-06 16:58:33.200,5,1.99,40.14,19.72,2021-09-06
2021-09-06 16:58:38.200,5,2.16,43.22,17.93,2021-09-06
2021-09-06 16:58:43.200,5,2.05,42.01,19.09,2021-09-06
2021-09-06 16:58:48.200,5,2.1,41.64,15.08,2021-09-06
2021-09-06 16:58:53.200,5,1.97,42.47,15.4,2021-09-06
2021-09-06 16:58:58.200,5,2.03,40.7,19.21,2021-09-06
2021-09-06 16:59:03.200,5,1.92,43.84,18.37,2021-09-06
2021-09-06 16:59:08.200,5,1.92,43.62,18.22,2021-09-06
2021-09-06 16:59:13.300,5,1.95,44.46,17.17,2021-09-06
2021-09-06 16:59:18.300,5,1.97,44.96,17.75,2021-09-06
2021-09-06 16:59:23.300,5,2.3,44.73,18.32,2021-09-06
2021-09-06 16:59:28.300,5,1.89,40.94,18.52,2021-09-06
2021-09-06 16:59:33.300,5,2.05,41.44,16.23,2021-09-06
2021-09-06 16:59:38.300,5,2.0,44.2,16.05,2021-09-06
2021-09-06 16:59:43.300,5,2.1,40.66,16.78,2021-09-06
2021-09-06 16:59:48.300,5,2.12,43.17,19.19,2021-09-06
2021-09-06 16:59:53.300,5,1.82,41.76,16.18,2021-09-06
2021-09-06 16:59:58.300,5,2.08,43.09,17.16,2021-09-06
2021-09-06 17:00:03.300,5,2.13,43.34,18.64,2021-09-06
2021-09-06 17:00:28.800,6,2.0,41.89,16.62,2021-09-06
2021-09-06 17:00:33.800,6,2.08,40.08,15.33,2021-09-06
2021-09-06 17:00:38.800,6,1.83,43.54,16.33,2021-09-06
2021-09-06 17:00:43.800,6,2.1,42.52,16.32,2021-09-06
2021-09-06 17:00:48.800,6,2.17,41.41,16.52,2021-09-06
2021-09-06 17:00:53.800,6,2.01,43.39,16.0,2021-09-06
2021-09-06 17:00:58.800,6,2.06,43.18,16.59,2021-09-06
2021-09-06 17:01:03.800,6,1.98,44.06,18.18,2021-09-06
2021-09-06 17:01:08.800,6,1.99,43.43,18.45,2021-09-06
2021-09-06 17:01:13.800,6,1.9,42.08,18.16,2021-09-06
2021-09-06 17:01:18.800,6,1.91,42.03,17.25,2021-09-06
2021-09-06 17:01:23.800,6,1.99,43.04,15.58,2021-09-06
2021-09-06 17:01:28.800,6,1.89,44.02,17.43,2021-09-06
2021-09-06 17:01:33.800,6,2.09,41.18,17.29,2021-09-06
2021-09-06 17:01:38.900,6,1.92,43.73,16.83,2021-09-06
2021-09-06 17:01:43.900,6,2.09,42.45,15.21,2021-09-06
2021-09-06 17:01:48.900,6,1.91,42.78,17.02,2021-09-06
2021-09-06 17:01:53.900,6,2.08,40.9,19.15,2021-09-06
2021-09-06 17:01:58.900,6,1.84,42.67,19.98,2021-09-06
2021-09-06 17:02:03.900,6,2.09,44.19,16.21,2021-09-06
2021-09-06 17:02:08.900,6,1.84,42.23,17.03,2021-09-06
2021-09-06 17:02:13.900,6,1.86,43.04,17.66,2021-09-06
2021-09-06 17:02:18.900,6,2.16,44.61,18.24,2021-09-06
2021-09-06 17:02:23.900,6,2.07,43.8,17.29,2021-09-06
2021-09-06 17:02:28.900,6,1.83,42.44,16.96,2021-09-06
2021-09-06 17:02:33.900,6,1.94,42.76,18.0,2021-09-06
2021-09-06 17:02:38.900,6,2.1,42.01,17.32,2021-09-06
2021-09-06 17:02:43.900,6,1.93,44.46,18.28,2021-09-06
2021-09-06 17:02:48.900,6,2.0,41.47,16.06,2021-09-06
2021-09-06 17:02:53.900,6,2.12,43.73,16.97,2021-09-06
2021-09-06 17:02:58.900,6,2.13,44.01,15.93,2021-09-06
2021-09-06 17:03:04.000,6,2.04,41.41,17.73,2021-09-06
2021-09-06 17:03:09.000,6,2.15,41.03,17.69,2021-09-06
2021-09-06 17:03:14.000,6,2.06,44.18,17.82,2021-09-06
2021-09-06 17:03:19.000,6,1.95,43.45,17.05,2021-09-06
2021-09-06 17:03:24.000,6,1.85,44.37,17.4,2021-09-06
2021-09-06 17:03:29.000,6,1.9,40.62,15.13,2021-09-06
2021-09-06 17:03:34.000,6,1.9,44.22,17.66,2021-09-06
2021-09-06 17:03:39.000,6,2.04,41.6,19.98,2021-09-06
2021-09-06 17:03:44.000,6,2.05,42.56,16.76,2021-09-06
2021-09-06 17:03:49.000,6,2.02,40.92,18.34,2021-09-06
2021-09-06 17:03:54.000,6,2.0,40.56,18.97,2021-09-06
