,QC,Voltage,pH,Temp
2021-09-06 16:43:27.700,1,15.57,1.85,42.37
2021-09-06 16:43:32.700,1,19.15,1.94,44.21
2021-09-06 16:43:37.700,1,15.44,1.84,43.39
2021-09-06 16:43:42.700,1,15.46,2.03,41.14
2021-09-06 16:43:47.700,1,15.49,2.15,43.69
2021-09-06 16:43:52.700,1,16.38,1.93,43.4
2021-09-06 16:43:57.700,1,19.94,1.83,44.0
2021-09-06 16:44:02.700,1,19.1,1.91,42.58
2021-09-06 16:44:07.700,1,17.65,2.03,44.09
2021-09-06 16:44:12.700,1,18.83,1.94,43.95
2021-09-06 16:44:17.700,1,15.35,2.46,41.09
2021-09-06 16:44:22.700,1,15.5,1.98,41.49
2021-09-06 16:44:27.700,1,18.08,2.16,44.45
2021-09-06 16:44:32.700,1,16.85,2.11,41.78
2021-09-06 16:44:37.700,1,19.54,2.03,44.84
2021-09-06 16:44:42.700,1,17.33,2.14,42.83
2021-09-06 16:44:47.700,1,19.67,2.09,40.33
2021-09-06 16:44:52.800,1,18.9,1.94,44.52
2021-09-06 16:44:57.800,1,17.65,2.09,42.85
2021-09-06 16:45:02.800,1,16.57,1.92,43.9
2021-09-06 16:45:07.800,1,19.91,2.05,44.06
2021-09-06 16:45:12.800,1,16.94,1.93,42.15
2021-09-06 16:45:17.800,1,18.98,2.05,42.07
2021-09-06 16:45:22.800,1,16.74,2.15,43.56
2021-09-06 16:45:27.800,1,15.35,2.46,41.09
2021-09-06 16:45:32.800,1,15.33,2.06,43.32
2021-09-06 16:45:37.800,1,17.67,1.81,44.19
2021-09-06 16:45:42.800,1,17.77,2.13,40.06
2021-09-06 16:45:47.800,1,19.21,1.87,41.14
2021-09-06 16:45:52.800,1,16.79,2.01,43.59
2021-09-06 16:45:57.800,1,15.18,1.92,44.06
2021-09-06 16:46:02.800,1,17.44,2.09,44.39
2021-09-06 16:46:07.800,1,17.31,2.04,44.36
2021-09-06 16:46:12.800,1,18.53,1.93,40.19
2021-09-06 16:46:17.800,1,15.15,2.09,42.72
2021-09-06 16:46:22.800,1,17.94,1.88,40.41
2021-09-06 16:46:27.800,1,19.36,1.99,42.52
2021-09-06 16:46:32.800,1,16.63,2.06,42.81
2021-09-06 16:46:37.900,1,17.63,1.94,44.48
2021-09-06 16:46:42.900,1,18.12,1.93,41.77
2021-09-06 16:46:47.900,1,16.51,2.14,43.69
2021-09-06 16:46:52.900,1,15.13,2.07,42.87
2021-09-06 16:46:57.900,1,17.55,1.96,42.63
2021-09-06 16:47:02.900,1,17.16,1.83,40.71
2021-09-06 16:47:07.900,1,18.96,2.17,42.96
2021-09-06 16:47:12.900,1,18.62,2.16,42.19
2021-09-06 16:47:17.900,1,15.86,2.17,43.09
2021-09-06 16:47:22.900,1,16.28,2.02,42.07
2021-09-06 16:47:27.900,1,18.74,2.1,42.79
2021-09-06 16:47:32.900,1,19.82,2.19,42.07
2021-09-06 16:47:37.900,1,17.54,2.08,43.18
2021-09-06 16:47:42.900,1,19.09,1.87,40.87
2021-09-06 16:47:47.900,1,17.99,1.91,42.58
2021-09-06 16:48:15.800,1,16.64,2.02,41.53
2021-09-06 16:48:20.800,1,19.09,2.06,42.15
2021-09-06 16:48:25.800,1,18.79,1.87,44.43
2021-09-06 16:48:30.800,1,19.6,1.89,41.2
2021-09-06 16:48:35.800,1,19.28,1.85,43.86
2021-09-06 16:48:40.800,1,16.79,1.99,42.17
2021-09-06 16:48:45.800,1,17.49,2.08,42.62
2021-09-06 16:48:50.800,1,19.57,2.19,42.65
2021-09-06 16:48:55.800,1,17.03,2.03,42.81
2021-09-06 16:49:00.800,1,19.99,1.83,40.21
2021-09-06 16:49:05.800,1,19.29,1.96,44.91
2021-09-06 16:49:10.800,1,16.11,1.83,44.97
2021-09-06 16:49:15.800,1,18.82,1.94,44.48
2021-09-06 16:49:20.800,1,19.85,2.11,42.61
2021-09-06 16:49:25.800,1,16.79,1.93,42.99
2021-09-06 16:49:30.800,1,19.64,2.04,44.4
2021-09-06 16:49:35.800,1,17.4,1.98,42.68
2021-09-06 16:49:40.800,1,15.02,2.07,41.75
2021-09-06 16:49:45.800,1,15.72,2.16,41.42
2021-09-06 16:49:50.800,1,15.87,1.99,42.13
2021-09-06 16:49:55.900,1,17.23,1.98,40.42
2021-09-06 16:50:00.900,1,19.83,2.14,40.04
2021-09-06 16:50:05.900,1,16.57,2.07,41.79
2021-09-06 16:50:10.900,1,17.76,2.18,43.07
2021-09-06 16:50:15.900,1,19.42,1.87,42.88
2021-09-06 16:50:20.900,1,18.42,2.17,42.79
2021-09-06 16:50:25.900,1,12.05,2.36,41.71
2021-09-06 16:50:30.900,1,15.85,1.84,42.44
2021-09-06 16:50:35.900,1,19.15,2.07,43.81
2021-09-06 16:50:40.900,1,15.19,1.85,41.69
2021-09-06 16:50:45.900,1,18.4,1.88,40.86
2021-09-06 16:50:50.900,1,15.98,1.9,43.55
2021-09-06 16:50:55.900,1,19.21,2.03,42.54
2021-09-06 16:51:00.900,1,15.61,2.08,43.64
2021-09-06 16:51:05.900,1,18.24,1.87,44.04
2021-09-06 16:51:10.900,1,18.44,2.04,42.27
2021-09-06 16:51:15.900,1,16.39,2.14,41.2
2021-09-06 16:51:20.900,1,17.07,2.17,42.23
2021-09-06 16:51:25.900,1,16.75,1.93,44.44
2021-09-06 16:51:30.900,1,17.96,1.99,41.3
2021-09-06 16:51:35.900,1,16.45,1.81,40.84
2021-09-06 16:51:41.000,1,18.3,1.91,44.71
2021-09-06 16:51:46.000,1,17.46,2.04,41.44
2021-09-06 16:51:51.000,1,19.93,1.9,43.02
2021-09-06 16:51:56.000,1,17.67,1.82,42.87
2021-09-06 16:52:01.000,1,18.66,1.98,43.9
2021-09-06 16:52:06.000,1,19.29,1.92,42.62
2021-09-06 16:52:11.000,1,17.06,2.18,41.08
2021-09-06 16:52:16.000,1,16.05,1.93,42.08
2021-09-06 16:52:21.000,1,17.0,1.82,41.01
2021-09-06 16:52:26.000,1,18.1,1.97,43.23
2021-09-06 16:52:31.000,1,16.4,1.91,42.64
2021-09-06 16:52:36.000,1,17.95,1.89,44.75
2021-09-06 16:52:41.000,1,15.81,2.06,43.9
2021-09-06 16:52:46.000,1,16.67,2.08,43.24
2021-09-06 16:52:51.000,1,18.7,1.83,43.52
2021-09-06 16:52:56.000,1,17.19,1.99,42.48
2021-09-06 16:53:01.000,1,15.01,1.98,44.92
2021-09-06 16:53:06.000,1,19.39,1.84,43.69
2021-09-06 16:53:11.000,1,17.19,2.18,41.79
2021-09-06 16:53:16.000,1,19.7,1.96,40.45
2021-09-06 16:53:21.100,1,17.6,2.1,44.18
2021-09-06 16:53:26.100,1,17.98,2.09,43.35
2021-09-06 16:53:31.100,1,18.68,1.99,41.32
2021-09-06 16:53:36.100,1,19.38,2.01,41.51
2021-09-06 16:53:41.100,1,15.78,1.92,44.16
2021-09-06 16:53:46.100,1,15.42,1.85,44.05
2021-09-06 16:53:51.100,1,15.5,2.15,44.46
2021-09-06 16:53:56.100,1,19.12,1.91,40.34
2021-09-06 16:54:23.000,1,17.51,2.18,40.78
2021-09-06 16:54:28.000,1,18.54,2.12,44.93
2021-09-06 16:54:33.000,1,15.1,1.83,43.94
2021-09-06 16:54:38.000,1,18.27,2.03,42.81
2021-09-06 16:54:43.000,1,17.59,2.01,43.01
2021-09-06 16:54:48.000,1,16.93,2.01,40.18
2021-09-06 16:54:53.000,1,17.75,2.05,43.99
2021-09-06 16:54:58.000,1,17.49,2.03,42.54
2021-09-06 16:55:03.000,1,17.33,2.16,41.85
2021-09-06 16:55:08.000,1,17.34,1.9,42.5
2021-09-06 16:55:13.000,1,18.04,2.15,41.22
2021-09-06 16:55:18.000,1,16.23,1.91,42.48
2021-09-06 16:55:23.000,1,19.84,2.04,42.01
2021-09-06 16:55:28.000,1,19.99,2.1,44.86
2021-09-06 16:55:33.000,1,16.6,2.15,41.17
2021-09-06 16:55:38.100,1,19.97,1.89,40.97
2021-09-06 16:55:43.100,1,17.75,1.9,42.07
2021-09-06 16:55:48.100,1,17.58,2.0,43.09
2021-09-06 16:55:53.100,1,16.59,1.83,44.84
2021-09-06 16:55:58.100,1,17.46,2.07,36.53
2021-09-06 16:56:03.100,1,17.3,2.05,41.18
2021-09-06 16:56:08.100,1,18.84,2.19,41.72
2021-09-06 16:56:13.100,1,16.23,1.82,40.46
2021-09-06 16:56:18.100,1,17.36,2.18,43.62
2021-09-06 16:56:23.100,1,15.92,2.16,44.03
2021-09-06 16:56:28.100,1,17.56,2.15,41.37
2021-09-06 16:56:33.100,1,18.91,2.02,41.3
2021-09-06 16:56:38.100,1,15.76,1.94,42.36
2021-09-06 16:56:43.100,1,19.35,1.85,40.93
2021-09-06 16:56:48.100,1,15.61,1.83,41.58
2021-09-06 16:56:53.100,1,18.67,2.08,40.46
2021-09-06 16:56:58.100,1,17.22,2.05,42.16
2021-09-06 16:57:03.100,1,17.2,1.91,44.31
2021-09-06 16:57:08.100,1,17.87,1.96,41.98
2021-09-06 16:57:13.200,1,18.36,2.4,43.72
2021-09-06 16:57:18.200,1,15.56,2.08,41.72
2021-09-06 16:57:23.200,1,17.65,2.07,43.9
2021-09-06 16:57:28.200,1,15.92,1.85,41.15
2021-09-06 16:57:33.200,1,15.35,2.04,41.58
2021-09-06 16:57:38.200,1,16.22,2.02,44.62
2021-09-06 16:57:43.200,1,19.16,2.05,44.65
2021-09-06 16:57:48.200,1,19.38,1.89,44.76
2021-09-06 16:57:53.200,1,18.79,1.99,40.99
2021-09-06 16:57:58.200,1,15.9,2.02,42.07
2021-09-06 16:58:03.200,1,17.39,1.85,43.0
2021-09-06 16:58:08.200,1,18.55,2.1,42.64
2021-09-06 16:58:13.200,1,19.33,2.06,41.03
2021-09-06 16:58:18.200,1,18.09,2.16,43.23
2021-09-06 16:58:23.200,1,19.69,2.13,41.9
2021-09-06 16:58:28.200,1,15.78,1.87,40.85
2021-09-06 16:58:33.200,1,19.72,1.99,40.14
2021-09-06 16:58:38.200,1,17.93,2.16,43.22
2021-09-06 16:58:43.200,1,19.09,2.05,42.01
2021-09-06 16:58:48.200,1,15.08,2.1,41.64
2021-09-06 16:58:53.200,1,15.4,1.97,42.47
2021-09-06 16:58:58.200,1,19.21,2.03,40.7
2021-09-06 16:59:03.200,1,18.37,1.92,43.84
2021-09-06 16:59:08.200,1,18.22,1.92,43.62
2021-09-06 16:59:13.300,1,17.17,1.95,44.46
2021-09-06 16:59:18.300,1,17.75,1.97,44.96
2021-09-06 16:59:23.300,1,18.32,2.3,44.73
2021-09-06 16:59:28.300,1,18.52,1.89,40.94
2021-09-06 16:59:33.300,1,16.23,2.05,41.44
2021-09-06 16:59:38.300,1,16.05,2.0,44.2
2021-09-06 16:59:43.300,1,16.78,2.1,40.66
2021-09-06 16:59:48.300,1,19.19,2.12,43.17
2021-09-06 16:59:53.300,1,16.18,1.82,41.76
2021-09-06 16:59:58.300,1,17.16,2.08,43.09
2021-09-06 17:00:03.300,1,18.64,2.13,43.34
2021-09-06 17:00:28.800,1,16.62,2.0,41.89
2021-09-06 17:00:33.800,1,15.33,2.08,40.08
2021-09-06 17:00:38.800,1,16.33,1.83,43.54
2021-09-06 17:00:43.800,1,16.32,2.1,42.52
2021-09-06 17:00:48.800,1,16.52,2.17,41.41
2021-09-06 17:00:53.800,1,16.0,2.01,43.39
2021-09-06 17:00:58.800,1,16.59,2.06,43.18
2021-09-06 17:01:03.800,1,18.18,1.98,44.06
2021-09-06 17:01:08.800,1,18.45,1.99,43.43
2021-09-06 17:01:13.800,1,18.16,1.9,42.08
2021-09-06 17:01:18.800,1,17.25,1.91,42.03
2021-09-06 17:01:23.800,1,15.58,1.99,43.04
2021-09-06 17:01:28.800,1,17.43,1.89,44.02
2021-09-06 17:01:33.800,1,17.29,2.09,41.18
2021-09-06 17:01:38.900,1,16.83,1.92,43.73
2021-09-06 17:01:43.900,1,15.21,2.09,42.45
2021-09-06 17:01:48.900,1,17.02,1.91,42.78
2021-09-06 17:01:53.900,1,19.15,2.08,40.9
2021-09-06 17:01:58.900,1,19.98,1.84,42.67
2021-09-06 17:02:03.900,1,16.21,2.09,44.19
2021-09-06 17:02:08.900,1,17.03,1.84,42.23
2021-09-06 17:02:13.900,1,17.66,1.86,43.04
2021-09-06 17:02:18.900,1,18.24,2.16,44.61
2021-09-06 17:02:23.900,1,17.29,2.07,43.8
2021-09-06 17:02:28.900,1,16.96,1.83,42.44
2021-09-06 17:02:33.900,1,18.0,1.94,42.76
2021-09-06 17:02:38.900,1,17.32,2.1,42.01
2021-09-06 17:02:43.900,1,18.28,1.93,44.46
2021-09-06 17:02:48.900,1,16.06,2.0,41.47
2021-09-06 17:02:53.900,1,16.97,2.12,43.73
2021-09-06 17:02:58.900,1,15.93,2.13,44.01
2021-09-06 17:03:04.000,1,17.73,2.04,41.41
2021-09-06 17:03:09.000,1,17.69,2.15,41.03
2021-09-06 17:03:14.000,1,17.82,2.06,44.18
2021-09-06 17:03:19.000,1,17.05,1.95,43.45
2021-09-06 17:03:24.000,1,17.4,1.85,44.37
2021-09-06 17:03:29.000,1,15.13,1.9,40.62
2021-09-06 17:03:34.000,1,17.66,1.9,44.22
2021-09-06 17:03:39.000,1,19.98,2.04,41.6
2021-09-06 17:03:44.000,1,16.76,2.05,42.56
2021-09-06 17:03:49.000,1,18.34,2.02,40.92
2021-09-06 17:03:54.000,1,18.97,2.0,40.56
2021-09-06 17:03:59.000,1,16.67,2.08,40.7
2021-09-06 17:04:04.000,1,18.58,2.12,43.91
2021-09-06 17:04:09.000,1,18.74,2.41,44.99
2021-09-06 17:04:14.000,1,16.3,2.1,40.57
2021-09-06 17:04:19.000,1,15.08,1.93,43.67
2021-09-06 17:04:24.100,1,12.38,2.01,44.02
2021-09-06 17:04:29.100,1,16.4,2.06,43.76
2021-09-06 17:04:34.100,1,15.35,2.12,43.51
2021-09-06 17:04:39.100,1,19.92,1.82,41.95
2021-09-06 17:04:44.100,1,16.08,2.17,41.68
2021-09-06 17:04:49.100,1,18.15,1.86,40.98
2021-09-06 17:04:54.100,1,17.24,1.92,41.22
2021-09-06 17:04:59.100,1,17.26,1.97,42.26
2021-09-06 17:05:04.100,1,15.24,1.83,42.59
2021-09-06 17:05:09.100,1,16.75,1.93,41.78
2021-09-06 17:05:14.100,1,18.88,1.89,44.3
2021-09-06 17:05:19.100,1,17.93,1.88,42.51
2021-09-06 17:05:24.100,1,16.6,2.0,41.8
2021-09-06 17:05:29.100,1,18.41,2.05,44.49
2021-09-06 17:05:34.100,1,15.3,2.02,43.53
2021-09-06 17:05:39.100,1,19.62,1.99,42.31
2021-09-06 17:05:44.100,1,16.85,2.13,44.06
2021-09-06 17:05:49.100,1,15.93,1.91,42.9
2021-09-06 17:05:54.100,1,19.57,1.83,43.82
2021-09-06 17:05:59.100,1,18.3,2.02,40.23
2021-09-06 17:06:04.100,1,19.6,2.11,43.0
2021-09-06 17:06:09.100,1,15.95,1.81,43.04
2021-09-06 17:06:36.200,1,17.45,2.03,42.02
2021-09-06 17:06:41.200,1,15.98,1.94,42.29
2021-09-06 17:06:46.200,1,16.67,2.17,42.92
2021-09-06 17:06:51.200,1,16.68,1.85,40.78
2021-09-06 17:06:56.200,1,15.78,2.17,43.83
2021-09-06 17:07:01.200,1,16.05,1.82,41.65
2021-09-06 17:07:06.200,1,18.21,2.0,41.95
2021-09-06 17:07:11.200,1,18.85,2.13,42.44
2021-09-06 17:07:16.200,1,15.89,2.02,44.94
2021-09-06 17:07:21.200,1,15.43,2.06,42.05
2021-09-06 17:07:26.300,1,17.95,1.85,40.6
2021-09-06 17:07:31.300,1,19.77,1.95,44.83
2021-09-06 17:07:36.300,1,16.89,2.19,42.65
2021-09-06 17:07:41.300,1,17.96,1.97,41.81
2021-09-06 17:07:46.300,1,17.69,1.9,44.22
2021-09-06 17:07:51.300,1,17.17,2.03,44.3
2021-09-06 17:07:56.300,1,16.76,2.04,40.18
2021-09-06 17:08:01.300,1,19.46,2.16,43.86
2021-09-06 17:08:06.300,1,17.95,1.93,42.58
2021-09-06 17:08:11.300,1,16.44,2.16,44.08
2021-09-06 17:08:16.300,1,18.84,2.18,40.8
2021-09-06 17:08:21.300,1,19.42,2.09,42.51
2021-09-06 17:08:26.300,1,18.0,1.99,41.55
2021-09-06 17:08:31.300,1,16.55,1.87,42.78
2021-09-06 17:08:36.300,1,17.51,2.17,41.73
2021-09-06 17:08:41.300,1,17.56,2.09,42.88
2021-09-06 17:08:46.300,1,17.89,2.08,41.7
2021-09-06 17:08:51.300,1,16.99,2.19,41.45
2021-09-06 17:08:56.300,1,17.22,1.84,41.33
2021-09-06 17:09:01.300,1,16.79,1.87,40.63
2021-09-06 17:09:06.300,1,19.49,1.83,41.1
2021-09-06 17:09:11.300,1,18.18,2.06,41.95
2021-09-06 17:09:16.300,1,18.41,2.13,41.06
2021-09-06 17:09:21.300,1,17.18,1.91,42.38
2021-09-06 17:09:26.300,1,17.58,2.25,40.79
2021-09-06 17:09:31.400,1,19.09,1.91,42.49
2021-09-06 17:09:36.400,1,15.47,1.98,41.72
2021-09-06 17:09:41.400,1,18.53,2.01,42.0
2021-09-06 17:09:46.400,1,16.83,1.94,41.34
2021-09-06 17:09:51.400,1,15.68,2.18,42.06
2021-09-06 17:09:56.400,1,19.44,2.05,41.89
2021-09-06 17:10:01.400,1,18.99,2.48,44.58
2021-09-06 17:10:06.400,1,19.35,2.17,42.68
2021-09-06 17:10:11.400,1,15.99,2.47,41.84
2021-09-06 17:10:16.400,1,17.52,2.15,40.35
2021-09-06 17:10:21.400,1,18.76,2.17,40.97
2021-09-06 17:10:26.400,1,18.72,2.03,42.42
2021-09-06 17:10:31.400,1,17.38,2.02,41.98
2021-09-06 17:10:36.400,1,16.97,1.88,44.96
2021-09-06 17:10:41.400,1,16.63,1.82,42.25
2021-09-06 17:10:46.400,1,15.63,2.13,42.28
2021-09-06 17:10:51.400,1,19.07,1.84,40.39
2021-09-06 17:10:56.400,1,18.79,1.9,41.4
2021-09-06 17:11:01.400,1,17.99,1.91,43.93
2021-09-06 17:11:06.400,1,17.17,2.01,43.26
2021-09-06 17:11:11.400,1,16.03,2.1,41.42
2021-09-06 17:11:16.500,1,17.59,1.97,43.52
2021-09-06 17:11:21.500,1,16.83,2.15,41.27
2021-09-06 17:11:26.500,1,16.18,2.0,43.62
2021-09-06 17:11:31.500,1,17.19,1.88,41.32
2021-09-06 17:11:36.500,1,16.47,2.06,41.5
2021-09-06 17:11:41.500,1,15.53,1.89,42.08
2021-09-06 17:11:46.500,1,17.09,1.97,40.62
2021-09-06 17:11:51.500,1,15.37,1.83,44.82
2021-09-06 17:11:56.500,1,18.87,1.96,42.9
2021-09-06 17:12:01.500,1,15.12,1.86,44.22
2021-09-06 17:12:06.500,1,19.98,2.03,40.7
